animal_id,animal_name,animal_category,url
1,cow,Farm Animals,https://t3.ftcdn.net/jpg/02/36/28/16/360_F_236281663_TzJcMacNnvFZA1QKulpDJoL62qlw6iGP.jpg
2,buffalo,Farm Animals,https://img.freepik.com/premium-vector/buffalo-vector-cartoon-illustration_1215145-7113.jpg
3,goat,Farm Animals,https://t4.ftcdn.net/jpg/01/25/32/45/360_F_125324577_8g0CqyMtixFeTyunpDBO4Yt2idzEbhDa.jpg
4,pig,Farm Animals,https://www.shutterstock.com/image-vector/pig-flat-cartoon-Farm Animals-logo-260nw-2324862757.jpg
5,sheep,Farm Animals,https://t3.ftcdn.net/jpg/00/97/00/56/360_F_97005676_hEpYC3D0V4Jyuufxm15LWeaj3BYLGQEo.jpg
6,horse,Farm Animals,https://i.pinimg.com/736x/a9/f9/b5/a9f9b5b02285384d0babd548d86abf0b.jpg
7,hen,Farm Animals,https://cbx-prod.b-cdn.net/COLOURBOX63926966.jpg?width=800&height=800&quality=70
8,donkey,Farm Animals,https://media.istockphoto.com/id/1691801174/vector/cute-donkey-cartoon-on-white-background.jpg?s=612x612&w=0&k=20&c=hSiCEvgvMURZd6vSWcCBYhx85fUfMkcrrinFQlKw9UI=
9,dog,Farm Animals,https://png.pngtree.com/png-vector/20240913/ourlarge/pngtree-vector-cartoon-dog-png-image_12828379.png
10,ox,Farm Animals,https://www.shutterstock.com/image-vector/little-black-bull-cartoon-animal-600nw-2226008919.jpg
11,fish,Sea Creatures,https://www.shutterstock.com/image-vector/isolated-cute-nemo-fish-cartoon-600nw-2431225233.jpg
12,dolphin,Sea Creatures,https://c8.alamy.com/comp/2FWRBX3/funny-cute-happy-dolphin-Sea Creatures-creatures-cartoon-marine-animal-character-vector-illustration-isolated-on-white-background-for-children-apparel-prin-2FWRBX3.jpg
13,shark,Sea Creatures,https://img.freepik.com/free-vector/aggressive-great-white-shark-cartoon_1308-97904.jpg
14,whale,Sea Creatures,https://static.vecteezy.com/system/resources/thumbnails/007/916/692/small_2x/illustration-of-cute-whale-cartoon-vector.jpg
15,octopus,Sea Creatures,https://t3.ftcdn.net/jpg/09/25/92/54/360_F_925925441_pBBysPCeScDWPsq4xRbI9eeGIDwDv8HH.jpg
16,starfish,Sea Creatures,https://img.freepik.com/premium-vector/starfish-vector-clipart-art-illustration-solid-white-background-27_666870-8647.jpg?semt=ais_hybrid
17,sea lion,Sea Creatures,https://www.shutterstock.com/image-vector/Sea Creatures-lion-happy-face-illustration-260nw-412768711.jpg
18,crab,Sea Creatures,https://img.freepik.com/premium-vector/little-crab-cartoon-white-background_844724-67.jpg
19,turtle,Sea Creatures,https://t3.ftcdn.net/jpg/08/54/05/60/360_F_854056040_qrIlNGtJDEvxpN3rIDytauT1SzUaoRCL.jpg
20,crocodile,Sea Creatures,https://i.pinimg.com/736x/d4/de/bc/d4debcd22707ba09393f601d50dd8aaa.jpg
21,Lion,wild animal,https://i.pinimg.com/736x/d4/de/bc/d4debcd22707ba09393f601d50dd8aaa.jpg
